Nazwa;Ilość;Kod
Brokuł szt;szt;173
Buraki Czerwone;kg;102
Cebula 1kg;szt;43284
Cebula 2kg;szt;58148
Cebula Dymka szt;szt;211
Cebula mix;kg;219
Cebula Szalotka/Czerwona;szt;52045
Cebula Żółta;kg;182
Cukinia;kg;194
Cykoria szt;szt;67373
Czosnek opak;szt;67685
Czosnek szt;szt;118
Dynia piżmowa;kg;200
Imbir;kg;294
Kalarepa szt;szt;103
Kapusta biała;kg;120
Kapusta Pekińska;kg;241
Marchew Bio opak;szt;63680
Marchew ;kg;124
Marchew na sok 2kg;szt;67114
Ogórek Bio szt;szt;67663
Ogórek Gruntowy;kg;370
Ogórek Szklarniowy;kg;125
Pack Choi opak;szt;68068
Papryka Czerwona;kg;126
Papryka Słodka Szpiczasta;kg;212
Papryka Żółta;kg;185
Pieczarka opak;szt;41767
Pieczarka Brunatna opak;szt;62033
Pietruszka;kg;167
Pietruszka Natka/Szczypior/koper;szt;216
Pomidor Cherry Gałązka opak;szt;51801
Pomidor Gałązka;kg;129
Pomidor Malinowy;kg;252
Pomidor Mięsisty;kg;996
Pomidor Papryczkowy;kg;215
Pomidor Śliwkowy opak;szt;52451
Por;kg;168
Rzodkiew biała;kg;217
Rzodkiewka opak;szt;63926
Sałata Lodowa;szt;150
Sałata Masłowa;szt;199
Sałata Rzymska mini  opak;szt;60804
Seler Korzeń;kg;141
Seler Naciowy opak;szt;64388
Włoszczyzna;szt;35596
Ziemniak Sałatkowy 1,5kg;szt;67417
Ziemniak 2kg opak;szt;65995
Ziemniak 3kg opak;szt;58462
Ziemniak Bryza 1.5kg;szt;64107
Ziemniaki myte;kg;267
Ziemniaki Słodkie Bataty;kg;1087
Buraki 2kg opak;szt;68373
