Nazwa;Ilość;Kod
White Beam Tree;szt;69465
Common Juniper;szt;30370
Taro;szt;39970
Indian Snakework;kg;47153
Golden Spoon;szt;85930
Litchi;szt;33229
Marvala Plum;kg;35717
Paraguay Tea;szt;58258
Mammee Apple;szt;92271
Raisin Tree;kg;40615
Calamondin;kg;20738
Chico Mamey;szt;68428
Kaffir Plum;kg;77376
Sand Cherry;kg;6708
Elephant Apple;kg;37772
Meyer Lemon;szt;6972
Green Sapote;kg;74457
Purpurea;kg;87826
Shinyleaf Yellowhorn;kg;82550
Pama;szt;66422
Sugar Apple;szt;62684
Pitanga;szt;30706
Red Ironwood;kg;81691
Bu annona;kg;4546
Green Gram;szt;67326
Kawakawa;kg;9922
Salal;kg;925
Grape-leaved Passion Fruit;kg;51481
Strawberry Tree;kg;35038
Lowbush Blueberry;szt;21753
Moosewood;szt;41223
Purple Granadilla;szt;48702
Ciruelo;szt;80651
Jelly Palm;kg;85004
Clove Currant;kg;83574
Guayo;kg;14759
African Honeysuckle;kg;10989
Lucma;szt;93712
Breadfruit (seedless);szt;95995
Persian Walnut;kg;89179
Elephant Apple;kg;736
Chilean Wine Palm;szt;37389
Indian Rhododendrom;szt;27512
Red Princess;kg;61279
Babaco;kg;44876
Llama: see Ilama;szt;85746
Phillippine Palm;kg;67362
Cranberry;szt;51530
Tamarillo;kg;9136
American Dewberry;kg;81970
Potato Tree;szt;69888
Papaya;kg;90350
Sweet Calabash;szt;35142
Velvet Vine;szt;88784
Tea;szt;2877
Oriental Cherry;szt;31170
Wild Orange;kg;3652
Yellow Jaboticaba;kg;26191
Cimarrona;szt;71048
Habbel;szt;82554
Taruma;kg;33999
Nauclea;kg;4232
Red Strawberry Guava;szt;84622
Caper;szt;1699
Buffalo Berry;szt;37260
Ciruelo;kg;14540
India Date;kg;57247
Hilama;kg;37842
White Yam;szt;90658
Otaheite Rangpur;szt;76048
Abiu;szt;39669
King Orange;kg;45336
Cuachilote;szt;46766
Chinese Gooseberry;szt;89185
Custard Apple;szt;85736
Natal Orange;kg;51092
Salak Palm;szt;34260
American Chestnut;szt;24236
Brush Cherry;szt;44820
Ciruela;kg;71088
Pecan;kg;96092
Cotopriz;szt;49046
American Persimmon;szt;99459
Ceylon Gooseberry;szt;98228
Soursop;kg;17353
Wild Custard Apple;kg;76035
Annatto;szt;20088
Cometure;kg;45188
American Cranberry;kg;10009
Kitembilla;szt;16999
Charicuela;szt;55871
Pineapple Guava;kg;39917
Chinese White Pear;szt;24993
European Hazelnut;szt;52282
Pacura;szt;61041
Jicama;kg;70181
Soapberry Tree;kg;6380
Lemon Grass;szt;91850
Hardy Kiwi;kg;12467
Cocoa;kg;86566
