Nazwa;Ilość;Kod
Bagietka Czosnkowa;szt;90
Bio Bułka z Dynią;szt;641
Bio Chleb Żytnio Pszenny;szt;638
Bio Bułka z Ziarnammi;szt;626
Bułka Codzienna;szt;97
Bułka Duża;szt;10
Bułka Grahamka;szt;40
Bułka Grahamka ze Słonecznikiem;szt;291
Buła Kajzerka;szt;50
Bułka Orkiszowa;szt;502
Bułka Poranna;szt;45
Bułka Poranna Fitness;szt;570
Bułka Pszenno Żytnia;szt;453
Bułka Vita;szt;147
Bułka Wieloziar z Komosą Ryżową;szt;558
Bułka Wysokobiałkowa;szt;500
Bułka z Nasionami Chia;szt;505
Bułka z Ziarnem;szt;11
Chleb Całe Ziarno;szt;55
Chleb Graham Oskroba;szt;628
Chleb Krojony;szt;2
Chleb Mieszany Razowy;szt;136
Chleb Rodzinny;szt;590
Chleb Rycerski;szt;528
Chleb Słonecznikowy;szt;99
Chleb Słowiański;szt;81
Chleb Wieloziarnisty;szt;61277
Chleb z Orkiszem;szt;60536
Chelb z Pieca Opalanego Drewnem;szt;457
Chelb Żytni 100%;szt;61
Chleb Żytni z Żurawiną;szt;37
Chelb Żytni ze Słonecznikiem;szt;5
Ciabata;szt;513
Ciastko Croissant Brioche;szt;7
Ciastko Duet Truskawkowy;szt;455
Ciastko Duet z Owocami;szt;83
Ciastko Pizzerina z Boczkiem;szt;77
Ciastko Półfranc. Z Pieczarką I Kapustą;szt;86
Ciastko Ślimak z Rodzynkami;szt;503
Ciastko z Czekoladą z Francji;szt;534
Ciastko z Morelą I Serem;szt;84
Ciastko Zakręcony z Cynamon Bridor;szt;540
Donut Cookies;szt;612
Donut Nadziewany;szt;462
Donut Owoce Leśne;szt;456
Donut Z Nadzieniem Karmelowym;szt;542
Donut z Polewą Kakaową;szt;39
Drożdżówka z Serem;szt;73
Gniazdko Wiedeńskie;szt;504
Hot Dog z berlinką I sosem;szt;511
Kieszonka z Jabłkiem;szt;59
Marcepanowy Owoc;szt;537
Mini Paszteciki z Pieczarką I Kapustą;szt;41
Mini Pizza z Salami;szt;67
Minichałeczka;szt;74
Muffin Jagodowy;szt;68537
Muffin Czekolada z nadzieniem;szt;293
Pączek Mix Słodka Kraina;szt;25
Pączek Premium;szt;68
Pączek z Nadz. O smaku śmietan;szt;29
Paluch z przyprawą czosnkową;szt;15
Piernik Staropolski;szt;49352
Podkówka Wiśniowa;szt;674
Półbagietka;szt;94
Półbagietka Pszenna;szt;91
Rogal Croissant z masłem;szt;80
Snack Gyros;szt;526
Strucla Klonowa Aryzta;szt;68859
Warkocz z czekoladą mleczną;szt;64930
Wysokobiałkowa bułka żytnia;szt;58
Zapiekanka długa;szt;514
Półbagietka z Ziarnami;szt;66
Bagietka;szt;64
Bagietka z Ziarnem;szt;616
Bułka Paryska;szt;458
